macro_category;poi_category;label
aeroway;aerodrome;aeroway
amenity;bar;sustenance
amenity;biergarten;sustenance
amenity;cafe;sustenance
amenity;fast_food;sustenance
amenity;food_court;sustenance
amenity;ice_cream;sustenance
amenity;pub;sustenance
amenity;restaurant;sustenance
amenity;college;education
amenity;kindergarten;education
amenity;library;education
amenity;music_school;education
amenity;university;education
amenity;parking;transportation
amenity;taxi;transportation
amenity;bank;financial
amenity;clinic;healthcare
amenity;hospital;healthcare
amenity;pharmacy;healthcare
amenity;arts_centre;entertainment, art and culture
amenity;cinema;entertainment, art and culture
amenity;community_centre;entertainment, art and culture
amenity;conference_centre;entertainment, art and culture
amenity;events_venue;entertainment, art and culture
amenity;fountain;entertainment, art and culture
amenity;music_venue;entertainment, art and culture
amenity;nightclub;entertainment, art and culture
amenity;social_centre;entertainment, art and culture
amenity;theatre;entertainment, art and culture
amenity;courthouse;public service
amenity;post_office;public service
amenity;bbq;facilities
amenity;bench;facilities
amenity;internet_cafe;facilities
amenity;marketplace;commercial
amenity;monastery;religious
barrier;city_wall;barrier
boundary;forest;natural
boundary;national_park;natural
building;apartments;accomodation
building;bungalow;accomodation
building;dormitory;accomodation
building;farm;accomodation
building;hotel;accomodation
building;house;accomodation
building;houseboat;accomodation
building;office;commercial
building;supermarket;commercial
building;cathedral;religious
building;chapel;religious
building;church;religious
building;monastery;religious
building;mosque;religious
building;religious;religious
building;synagogue;religious
building;temple;religious
building;bridge;civic/amenity
building;government;civic/amenity
building;hospital;healthcare
building;toilets;civic/amenity
building;stadium;civic/amenity
building;castle;attraction
building;ruins;attraction
craft;atelier;clothing, shoes, accessories
craft;bakery;food and beverages
highway;motorway;motor roads
highway;trunk;motor roads
highway;residential;pedestrian roads
highway;pedestrian;pedestrian roads
highway;busway;motor roads
highway;cycleway;bicycle roads
highway;bus_stop;public transport
historic;anchor;historic attraction
historic;aqueduct;historic attraction
historic;archaeological_site;historic attraction
historic;battlefield;historic attraction
historic;boundary_stone;historic attraction
historic;castle;historic attraction
historic;castel_wall;historic attraction
historic;church;historic attraction
historic;citywalls;historic attraction
historic;memorial;historic attraction
historic;monument;historic attraction
historic;monastery;historic attraction
historic;ruins;historic attraction
historic;rune_stone;historic attraction
historic;stone;historic attraction
historic;tomb;historic attraction
historic;tower;historic attraction
landuse;commercial;landuse
landuse;education;landuse
landuse;industrial;landuse
landuse;residential;landuse
landuse;retail;landuse
landuse;institutional;landuse
landuse;aquaculture;landuse
landuse;farmland;landuse
landuse;forest;natural
landuse;greenhouse_horticulture;landuse
landuse;meadow;landuse
landuse;orchard;landuse
landuse;vineyard;landuse
landuse;grass;natural
landuse;greenfield;landuse
landuse;port;landuse
landuse;railway;landuse
landuse;religious;landuse
landuse;winter_sports;landuse
leisure;adult_gaming_centre;leisure
leisure;amusement_arcade;leisure
leisure;beach_resort;leisure
leisure;bandstand;leisure
leisure;dance;leisure
leisure;disc_golf_course;leisure
leisure;dog_park;leisure
leisure;escape_game;leisure
leisure;fishing;leisure
leisure;fitness_centre;leisure
leisure;fitness_station;leisure
leisure;garden;leisure
leisure;hackerspace;leisure
leisure;ice_rink;leisure
leisure;marina;leisure
leisure;miniature_golf;leisure
leisure;nature_reserve;leisure
leisure;park;leisure
leisure;picnic_table;leisure
leisure;pitch;leisure
leisure;playground;leisure
leisure;sport_centre;leisure
leisure;stadium;leisure
leisure;summer_camp;leisure
leisure;swimming_area;leisure
leisure;swimming_pool;leisure
leisure;track;leisure
leisure;water_park;leisure
man_made;obelisk;attraction
natural;fell;natural
natural;grassland;natural
natural;heath;natural
natural;moor;natural
natural;scrub;natural
natural;wood;natural
natural;bay;natural
natural;beach;natural
natural;cape;natural
natural;coastline;natural
natural;crevasse;natural
natural;geyser;natural
natural;glacier;natural
natural;penisula;natural
natural;reef;natural
natural;shoal;natural
natural;spring;natural
natural;water;natural
natural;duen;natural
natural;fumarole;natural
natural;hill;natural
natural;peak;natural
