aeroway=aerodrome;category:aeroway
amenity=bar;category:sustenance
amenity=biergarten;category:sustenance
amenity=cafe;category:sustenance
amenity=fast_food;category:sustenance
amenity=food_court;category:sustenance
amenity=ice_cream;category:sustenance
amenity=pub;category:sustenance
amenity=restaurant;category:sustenance
amenity=college;category:education
amenity=kindergarten;category:education
amenity=library;category:education
amenity=music_school;category:education
amenity=university;category:education
amenity=parking;category:transportation
amenity=taxi;category:transportation
amenity=bank;category:financial
amenity=clinic;category:healthcare
amenity=hospital;category:healthcare
amenity=pharmacy;category:healthcare
amenity=arts_centre;category:entertainment, art and culture
amenity=cinema;category:entertainment, art and culture
amenity=community_centre;category:entertainment, art and culture
amenity=conference_centre;category:entertainment, art and culture
amenity=events_venue;category:entertainment, art and culture
amenity=fountain;category:entertainment, art and culture
amenity=music_venue;category:entertainment, art and culture
amenity=nightclub;category:entertainment, art and culture
amenity=social_centre;category:entertainment, art and culture
amenity=theatre;category:entertainment, art and culture
amenity=courthouse;category:public service
amenity=post_office;category:public service
amenity=bbq;category:facilities
amenity=bench;category:facilities
amenity=internet_cafe;category:facilities
amenity=marketplace;category:commercial
amenity=monastery;category:religious
barrier=city_wall;category:barrier
boundary=forest;category:natural
boundary=national_park;category:natural
building=apartments;category:accomodation
building=bungalow;category:accomodation
building=dormitory;category:accomodation
building=farm;category:accomodation
building=hotel;category:accomodation
building=house;category:accomodation
building=houseboat;category:accomodation
building=office;category:commercial
building=supermarket;category:commercial
building=cathedral;category:religious
building=chapel;category:religious
building=church;category:religious
building=monastery;category:religious
building=mosque;category:religious
building=religious;category:religious
building=synagogue;category:religious
building=temple;category:religious
building=bridge;category:civic/amenity
building=government;category:civic/amenity
building=hospital;category:healthcare
building=toilets;category:civic/amenity
building=stadium;category:civic/amenity
building=castle;category:attraction
building=ruins;category:attraction
craft=atelier;category:clothing, shoes, accessories
craft=bakery;category:food and beverages
highway=motorway;category:motor roads
highway=trunk;category:motor roads
highway=residential;category:pedestrian roads
highway=pedestrian;category:pedestrian roads
highway=busway;category:motor roads
highway=cycleway;category:bicycle roads
highway=bus_stop;category:public transport
historic=anchor;category:historic attraction
historic=aqueduct;category:historic attraction
historic=archaeological_site;category:historic attraction
historic=battlefield;category:historic attraction
historic=boundary_stone;category:historic attraction
historic=castle;category:historic attraction
historic=castel_wall;category:historic attraction
historic=church;category:historic attraction
historic=citywalls;category:historic attraction
historic=memorial;category:historic attraction
historic=monument;category:historic attraction
historic=monastery;category:historic attraction
historic=ruins;category:historic attraction
