,experiment_num,MUITAS summ1 (mean),MUITAS summ2 (mean)
46,001,1.0,0.7655541514362022
34,002,1.0,0.9655007432366288
81,003,1.0,0.6266238942994168
154,004,1.0,0.6242620375504853
109,005,1.0,0.7917455491318988
93,006,1.0,0.6025657430914464
89,007,1.0,0.7084142026670193
72,008,1.0,0.6661112491281784
9,009,1.0,0.9630157126541764
66,010,1.0,0.6257135602692642
141,011,1.0,0.5467258328726954
108,012,1.0,0.6824888420872515
152,013,1.0,0.550812526435616
71,014,1.0,0.6992831361889468
73,015,1.0,0.548889076113531
139,016,1.0,0.9643204019840471
128,017,1.0,0.6172770188169914
90,018,1.0,0.5147330919030682
165,019,1.0,0.5323189699482347
104,020,1.0,0.5179011112063284
142,021,1.0,0.684732210350486
132,022,1.0,0.5442581290036126
117,023,1.0,0.9611488927507911
167,024,1.0,0.6125840241297543
91,025,1.0,0.5135227369560511
129,026,1.0,0.5279983846058363
87,027,1.0,0.5167722992246573
57,028,1.0,0.6720914092392276
156,029,1.0,0.8058001123755246
32,030,1.0,0.9765934447357616
162,031,1.0,0.7708865550986063
47,032,1.0,0.7066643162356444
143,033,1.0,0.8167473800590053
157,034,1.0,0.7406095167132015
130,035,1.0,0.8919458184689104
82,036,1.0,0.7648015313661939
11,037,1.0,0.9760939752122392
44,038,1.0,0.7673608413523719
127,039,1.0,0.6426930189229807
102,040,1.0,0.7494044030891225
161,041,1.0,0.6792808182199667
38,042,1.0,0.882777400378196
134,043,1.0,0.7328200873988284
64,044,1.0,0.979767054927728
80,045,1.0,0.740536743019423
43,046,1.0,0.6050052537726347
50,047,1.0,0.7225752126662431
119,048,1.0,0.6373390183386652
28,049,1.0,0.8576065883352721
106,050,1.0,0.7259987687805107
123,051,1.0,0.9776172967846254
36,052,1.0,0.7296691347778386
56,053,1.0,0.5999241559449291
150,054,1.0,0.7137230110066346
21,055,1.0,0.6308586667743409
15,056,1.0,0.8310609364326689
94,057,1.0,0.8317105525162461
95,058,1.0,0.9826356438581316
7,059,1.0,0.8467506247527162
140,060,1.0,0.8132354363138741
158,061,1.0,0.854290016883811
61,062,1.0,0.7969254665237558
96,063,1.0,0.9236215238673067
8,064,1.0,0.8114160002081791
155,065,1.0,0.9826709741790827
122,066,1.0,0.844543840570841
148,067,1.0,0.781761378065637
97,068,1.0,0.826583567224657
10,069,1.0,0.7731647170127989
33,070,1.0,0.9193265166932383
159,071,1.0,0.7943699732603752
110,072,1.0,0.9803438085039777
144,073,1.0,0.8220629350443733
151,074,1.0,0.7518613612075954
103,075,1.0,0.809273900249052
29,076,1.0,0.742634541917052
54,077,1.0,0.9045181850033976
153,078,1.0,0.7822241667997832
114,079,1.0,0.9803245328837114
3,080,1.0,0.8126135298837718
26,081,1.0,0.7411989921891299
125,082,1.0,0.7985636119474081
