,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
46,001,37.86967418546366,17.0,45.824092852074486,17.145363408521302,8.0,18.657957282163842,4.37218045112782,3.0,3.6075451403680345
34,002,35.22932330827068,16.0,41.80859525483567,7.112781954887218,6.0,5.006626678231774,3.156641604010025,3.0,1.7132664874699184
81,003,32.015113350125944,15.0,38.1056111658119,5.171284634760705,4.0,3.580581171463407,2.397984886649874,2.0,1.1398086031110228
154,004,37.88471177944862,17.0,45.84737367754962,18.17543859649123,8.0,20.600137608915684,4.68922305764411,3.0,4.193698941676667
109,005,37.88095238095238,17.0,45.845379906985144,17.723057644110277,8.0,19.713054344587444,4.522556390977444,3.0,3.792466610587969
93,006,37.87719298245614,17.0,45.8324366806487,17.74812030075188,8.0,19.773573107837773,4.43734335839599,3.0,3.8400202529656924
89,007,36.93358395989975,17.0,44.51984853256413,12.19548872180451,8.0,11.205702066123674,4.050125313283208,3.0,3.1114785238052374
72,008,37.86967418546366,17.0,45.824092852074486,17.145363408521302,8.0,18.657957282163842,7.5476190476190474,5.0,6.473543346437588
9,009,35.22932330827068,16.0,41.80859525483567,7.112781954887218,6.0,5.006626678231774,4.105263157894737,3.0,2.7708733080485226
66,010,32.015113350125944,15.0,38.1056111658119,5.171284634760705,4.0,3.580581171463407,2.841309823677582,2.0,1.5249108620439231
141,011,37.88471177944862,17.0,45.84737367754962,18.17543859649123,8.0,20.600137608915684,8.172932330827068,5.0,7.53795376571687
108,012,37.88095238095238,17.0,45.845379906985144,17.723057644110277,8.0,19.713054344587444,7.87218045112782,5.0,6.982768035881601
152,013,37.87719298245614,17.0,45.8324366806487,17.74812030075188,8.0,19.773573107837773,7.788220551378446,5.0,6.963357155659076
71,014,36.93358395989975,17.0,44.51984853256413,12.19548872180451,8.0,11.205702066123674,4.966165413533835,4.0,3.7627385423017676
73,015,37.86967418546366,17.0,45.824092852074486,17.145363408521302,8.0,18.657957282163842,12.786967418546366,7.0,12.08614958830798
139,016,35.22932330827068,16.0,41.80859525483567,7.112781954887218,6.0,5.006626678231774,5.106516290726817,4.0,3.410432388738025
128,017,32.015113350125944,15.0,38.1056111658119,5.171284634760705,4.0,3.580581171463407,3.4924433249370277,3.0,2.1741501680606636
90,018,37.88471177944862,17.0,45.84737367754962,18.17543859649123,8.0,20.600137608915684,14.179197994987469,7.0,14.37974730673899
165,019,37.88095238095238,17.0,45.845379906985144,17.723057644110277,8.0,19.713054344587444,13.49874686716792,7.0,13.317826034008116
104,020,37.87719298245614,17.0,45.8324366806487,17.74812030075188,8.0,19.773573107837773,13.527568922305765,7.0,13.117885225048752
142,021,36.93358395989975,17.0,44.51984853256413,12.19548872180451,8.0,11.205702066123674,7.788220551378446,6.0,6.869386315223718
132,022,37.86967418546366,17.0,45.824092852074486,17.145363408521302,8.0,18.657957282163842,16.296992481203006,8.0,17.13466526676869
117,023,35.22932330827068,16.0,41.80859525483567,7.112781954887218,6.0,5.006626678231774,7.112781954887218,6.0,5.006626678231774
167,024,32.015113350125944,15.0,38.1056111658119,5.171284634760705,4.0,3.580581171463407,5.08816120906801,4.0,3.3856437349239896
91,025,37.88471177944862,17.0,45.84737367754962,18.17543859649123,8.0,20.600137608915684,17.61904761904762,8.0,19.591249374156554
129,026,37.88095238095238,17.0,45.845379906985144,17.723057644110277,8.0,19.713054344587444,17.026315789473685,8.0,18.459574583730866
87,027,37.87719298245614,17.0,45.8324366806487,17.74812030075188,8.0,19.773573107837773,17.37468671679198,8.0,19.125648353274148
57,028,36.93358395989975,17.0,44.51984853256413,12.19548872180451,8.0,11.205702066123674,11.56265664160401,7.0,10.668635486635575
156,029,37.31453634085213,16.0,45.28318883636642,23.279448621553886,13.0,24.37305943650385,8.223057644110275,7.0,5.96227114560693
32,030,27.81635220125786,13.0,32.11446756493205,5.327044025157233,4.0,3.6182730606443014,2.9169811320754717,3.0,1.8860887904168904
162,031,24.783505154639176,12.0,29.617815668755192,4.845360824742268,4.0,3.307751072852988,2.3466494845360826,2.0,1.2708906141401042
47,032,37.80200501253133,17.0,45.76985026153776,27.25689223057644,13.0,30.605891976951234,8.300751879699249,6.0,6.421011184264274
143,033,37.72932330827068,17.0,45.68491089908898,25.75187969924812,13.0,27.971011885031725,8.110275689223057,6.0,6.221980680429594
157,034,37.57017543859649,17.0,45.56203555906352,25.140350877192983,13.0,27.305839745243443,8.31328320802005,6.0,6.2875151828363585
130,035,33.65244667503137,15.0,39.78277587022975,12.523212045169386,9.0,10.406488395471397,4.795483061480552,4.0,3.145081455317105
82,036,37.31453634085213,16.0,45.28318883636642,23.279448621553886,13.0,24.37305943650385,11.414786967418546,9.0,8.946074716901375
11,037,27.81635220125786,13.0,32.11446756493205,5.327044025157233,4.0,3.6182730606443014,3.0113207547169814,3.0,2.0178354968135883
44,038,24.783505154639176,12.0,29.617815668755192,4.845360824742268,4.0,3.307751072852988,2.643041237113402,2.0,1.5879068887468069
127,039,37.80200501253133,17.0,45.76985026153776,27.25689223057644,13.0,30.605891976951234,12.547619047619047,9.0,10.850859061805195
102,040,37.72932330827068,17.0,45.68491089908898,25.75187969924812,13.0,27.971011885031725,12.489974937343359,9.0,10.261048138849052
161,041,37.57017543859649,17.0,45.56203555906352,25.140350877192983,13.0,27.305839745243443,11.761904761904763,9.0,9.795190092054131
38,042,33.65244667503137,15.0,39.78277587022975,12.523212045169386,9.0,10.406488395471397,5.537013801756587,4.0,3.8260148410427823
134,043,37.31453634085213,16.0,45.28318883636642,23.279448621553886,13.0,24.37305943650385,16.82205513784461,11.5,15.14052667816789
64,044,27.81635220125786,13.0,32.11446756493205,5.327044025157233,4.0,3.6182730606443014,4.6817610062893085,4.0,2.9088775641756093
80,045,24.783505154639176,12.0,29.617815668755192,4.845360824742268,4.0,3.307751072852988,3.6301546391752577,3.0,2.1174709142819563
43,046,37.80200501253133,17.0,45.76985026153776,27.25689223057644,13.0,30.605891976951234,19.31578947368421,12.0,18.572399654440332
50,047,37.72932330827068,17.0,45.68491089908898,25.75187969924812,13.0,27.971011885031725,18.521303258145362,12.0,17.23791515094215
119,048,37.57017543859649,17.0,45.56203555906352,25.140350877192983,13.0,27.305839745243443,17.95739348370927,12.0,16.652645555226734
28,049,33.65244667503137,15.0,39.78277587022975,12.523212045169386,9.0,10.406488395471397,8.686323713927226,7.0,6.543013932217186
106,050,37.31453634085213,16.0,45.28318883636642,23.279448621553886,13.0,24.37305943650385,21.93984962406015,13.0,22.13965916363667
123,051,27.81635220125786,13.0,32.11446756493205,5.327044025157233,4.0,3.6182730606443014,5.327044025157233,4.0,3.6182730606443014
36,052,24.783505154639176,12.0,29.617815668755192,4.845360824742268,4.0,3.307751072852988,4.819587628865979,4.0,3.256109348255237
56,053,37.80200501253133,17.0,45.76985026153776,27.25689223057644,13.0,30.605891976951234,25.818295739348372,13.0,28.04532656944303
150,054,37.72932330827068,17.0,45.68491089908898,25.75187969924812,13.0,27.971011885031725,24.295739348370926,13.0,25.488704057320895
